name,ideology,ideology_icon,city,state,is_statewide,is_headquarters,group,latitude,longitude,ideology_link,group_link,latitude_longitude_appended
Nation of Islam,Black Separatist,black-separatist,Gainesville,Florida,FALSE,FALSE,Nation of Islam,29.65,-82.32,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"29.65, -82.32"
Black Riders Liberation Party,Black Separatist,black-separatist,Miami,Florida,FALSE,FALSE,,25.76,-80.19,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"25.76, -80.19"
All Eyes on Egipt Bookstore,Black Separatist,black-separatist,Orlando,Florida,FALSE,FALSE,,28.57,-81.45,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"28.57, -81.45"
Israel United In Christ,Black Separatist,black-separatist,Orlando,Florida,FALSE,FALSE,,28.53,-81.37,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"28.53, -81.37"
Israel United In Christ,Black Separatist,black-separatist,Miami,Florida,FALSE,FALSE,,25.76,-80.19,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"25.76, -80.19"
Israel United In Christ,Black Separatist,black-separatist,Tallahassee,Florida,FALSE,FALSE,,30.43,-84.28,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"30.43, -84.28"
"Straight Way and More, The",Anti-Muslim,anti-muslim,Venice,Florida,FALSE,FALSE,,27.09,-82.45,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"27.09, -82.45"
Gallows Tree Wotansvolk Alliance,Neo-Nazi,neo-nazi,,Florida,TRUE,FALSE,,27.66,-81.51,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"27.66, -81.51"
League of the South,Neo-Confederate,neo-confederate,Lake City,Florida,FALSE,FALSE,League of the South,30.18,-82.63,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate,https://www.splcenter.org/fighting-hate/extremist-files/group/league-south,"30.18, -82.63"
League of the South,Neo-Confederate,neo-confederate,Miami,Florida,FALSE,FALSE,League of the South,25.76,-80.19,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate,https://www.splcenter.org/fighting-hate/extremist-files/group/league-south,"25.76, -80.19"
Ku Klos Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Wauchula,Florida,FALSE,FALSE,,27.54,-81.81,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"27.54, -81.81"
ACT for America,Anti-Muslim,anti-muslim,Heathrow,Florida,FALSE,FALSE,,28.77,-81.37,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"28.77, -81.37"
ACT for America,Anti-Muslim,anti-muslim,,Florida,TRUE,FALSE,,28.26,-80.72,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"28.26, -80.72"
ACT for America,Anti-Muslim,anti-muslim,Jacksonville,Florida,FALSE,FALSE,,30.33,-81.65,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"30.33, -81.65"
Knights of the White Disciples,Ku Klux Klan,kkk,Hudson,Florida,FALSE,TRUE,,28.36,-82.69,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"28.36, -82.69"
ACT for America,Anti-Muslim,anti-muslim,Palm Beach,Florida,FALSE,FALSE,,26.7,-80.03,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"26.7, -80.03"
Loyal White Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Jacksonville,Florida,FALSE,FALSE,,30.33,-81.65,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"30.33, -81.65"
Georgia Knight Riders of the Ku Klux Klan,Ku Klux Klan,kkk,Live Oak,Florida,FALSE,TRUE,,30.29,-82.98,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"30.29, -82.98"
The Daily Stormer,Neo-Nazi,neo-nazi,Orlando,Florida,FALSE,FALSE,,28.53,-81.37,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"28.53, -81.37"
The Daily Stormer,Neo-Nazi,neo-nazi,Brandon,Florida,FALSE,FALSE,,27.93,-82.28,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"27.93, -82.28"
Firm 22,Racist Skinhead,racist-skinhead,,Florida,TRUE,FALSE,,27.66,-81.51,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,,"27.66, -81.51"
Endangered Souls RC/Crew 519,Neo-Nazi,neo-nazi,,Florida,TRUE,FALSE,,27.66,-81.51,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"27.66, -81.51"
Sons & Daughters of Liberty,White Nationalist,white-nationalist,,Florida,TRUE,TRUE,,27.66,-81.51,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"27.66, -81.51"
Israelite School of Universal Practical Knowledge,Black Separatist,black-separatist,Miami,Florida,FALSE,FALSE,,25.76,-80.19,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"25.76, -80.19"
Christian American Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Cocoa,Florida,FALSE,TRUE,,28.38,-80.74,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"28.38, -80.74"
Legal Immigrants for America,Anti-Immigrant,anti-immigrant,Winter Springs,Florida,FALSE,TRUE,,28.69,-81.26,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-immigrant,,"28.69, -81.26"
American Vanguard,White Nationalist,white-nationalist,Orlando,Florida,FALSE,FALSE,,28.53,-81.37,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"28.53, -81.37"
New Black Panther Party for Self Defense,Black Separatist,black-separatist,Tampa,Florida,FALSE,FALSE,,27.95,-82.45,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"27.95, -82.45"
Christian American Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Bushnell,Florida,FALSE,FALSE,,28.66,-82.11,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"28.66, -82.11"
Confederate Hammerskins,Racist Skinhead,racist-skinhead,,Georgia,TRUE,FALSE,,32.16,-82.9,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,,"32.16, -82.9"
Nation of Islam,Black Separatist,black-separatist,Atlanta,Georgia,FALSE,FALSE,Nation of Islam,33.689184,-84.50818,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"33.689184, -84.50818"
New Black Panther Party,Black Separatist,black-separatist,Atlanta,Georgia,FALSE,FALSE,New Black Panther Party,33.76,-84.39,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/new-black-panther-party,"33.76, -84.39"
Occidental Quarterly/Charles Martel Society,White Nationalist,white-nationalist,Atlanta,Georgia,FALSE,TRUE,Occidental Quarterly,33.75,-84.39,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,https://www.splcenter.org/fighting-hate/extremist-files/group/occidental-quarterly,"33.75, -84.39"
Nation of Islam,Black Separatist,black-separatist,Columbus,Georgia,FALSE,FALSE,Nation of Islam,32.46,-84.95,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"32.46, -84.95"
American Vision,Anti-LGBT,anti-lgbt,Powder Springs,Georgia,FALSE,TRUE,,33.859549,-84.683824,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt,,"33.859549, -84.683824"
United Northern and Southern Knights of the Ku Klux Klan,Ku Klux Klan,kkk,East Ellijay,Georgia,FALSE,TRUE,,34.68,-84.47,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"34.68, -84.47"
Covenant People's Ministry,Christian Identity,christian-identity,Brooks,Georgia,FALSE,TRUE,,33.290951,-84.45937,https://www.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity,,"33.290951, -84.45937"
International Keystone Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Cedartown,Georgia,FALSE,FALSE,,34.01,-85.25,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"34.01, -85.25"
All Eyes On Egypt Bookstore,Black Separatist,black-separatist,Macon,Georgia,FALSE,FALSE,,32.84,-83.63,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"32.84, -83.63"
Faith Baptist Church (formerly Sons of Thundr),Anti-LGBT,anti-lgbt,Greenville,Georgia,FALSE,TRUE,,33.14,-84.75,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt,,"33.14, -84.75"
Alternative Right,White Nationalist,white-nationalist,Atlanta,Georgia,FALSE,TRUE,,33.74,-84.38,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"33.74, -84.38"
Nation of Islam,Black Separatist,black-separatist,Augusta,Georgia,FALSE,FALSE,Nation of Islam,33.46,-82,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"33.46, -82"
Southern National Congress,Neo-Confederate,neo-confederate,Morganton,Georgia,FALSE,FALSE,,34.876667,-84.245556,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate,,"34.876667, -84.245556"
League of the South,Neo-Confederate,neo-confederate,Macon,Georgia,FALSE,FALSE,League of the South,32.840694,-83.632402,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-confederate,https://www.splcenter.org/fighting-hate/extremist-files/group/league-south,"32.840694, -83.632402"
Nation of Islam,Black Separatist,black-separatist,Brunswick,Georgia,FALSE,FALSE,Nation of Islam,31.14,-81.49,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"31.14, -81.49"
New Black Panther Party,Black Separatist,black-separatist,Waycross,Georgia,FALSE,FALSE,New Black Panther Party,31.21,-82.35,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/new-black-panther-party,"31.21, -82.35"
New Black Panther Party,Black Separatist,black-separatist,Augusta,Georgia,FALSE,FALSE,New Black Panther Party,33.47,-82.01,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/new-black-panther-party,"33.47, -82.01"
All Eyes on Egipt Bookstore,Black Separatist,black-separatist,Monticello,Georgia,FALSE,FALSE,,33.3,-83.68,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"33.3, -83.68"
All Eyes on Egipt Bookstore,Black Separatist,black-separatist,Decatur,Georgia,FALSE,FALSE,,33.77,-84.29,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"33.77, -84.29"
Israelite School of Universal Practical Knowledge,Black Separatist,black-separatist,Atlanta,Georgia,FALSE,FALSE,,33.74,-84.38,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"33.74, -84.38"
Israel United In Christ,Black Separatist,black-separatist,Atlanta,Georgia,FALSE,FALSE,,33.61,-84.47,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"33.61, -84.47"
Crew 38,Racist Skinhead,racist-skinhead,,Georgia,TRUE,FALSE,,32.16,-82.9,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,,"32.16, -82.9"
Aryan Nations Worldwide,Neo-Nazi,neo-nazi,Villa Rica,Georgia,FALSE,TRUE,Aryan Nations,33.73,-84.91,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,https://www.splcenter.org/fighting-hate/extremist-files/group/aryan-nations,"33.73, -84.91"
Blood and Honour Social Club,Racist Skinhead,racist-skinhead,,Georgia,TRUE,FALSE,Blood & Honour,32.16,-82.9,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,https://www.splcenter.org/fighting-hate/extremist-files/group/blood-honour,"32.16, -82.9"
Loyal White Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Dallas,Georgia,FALSE,FALSE,,33.92,-84.84,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"33.92, -84.84"
Loyal White Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Covington,Georgia,FALSE,FALSE,,33.59,-83.86,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"33.59, -83.86"
Loyal White Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Canton,Georgia,FALSE,FALSE,,34.23,-84.49,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"34.23, -84.49"
Loyal White Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Valdosta,Georgia,FALSE,FALSE,,30.83,-83.27,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"30.83, -83.27"
National Socialist Movement,Neo-Nazi,neo-nazi,,Georgia,TRUE,FALSE,National Socialist Movement,32.16,-82.9,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,https://www.splcenter.org/fighting-hate/extremist-files/group/national-socialist-movement,"32.16, -82.9"
III% Security Force,Anti-Muslim,anti-muslim,,Georgia,TRUE,TRUE,,33.43,-84.14,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"33.43, -84.14"
New Black Panther Party for Self Defense,Black Separatist,black-separatist,Stone Mountain,Georgia,FALSE,TRUE,,33.77,-84.08,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"33.77, -84.08"
Campaign for Radical Truth in History,Holocaust Denial,holocaust-denial,Coeur d'Alene,Idaho,FALSE,TRUE,,47.671935,-116.707675,https://www.splcenter.org/fighting-hate/extremist-files/ideology/holocaust-denial,,"47.671935, -116.707675"
America's Promise Ministries,Christian Identity,christian-identity,Sandpoint,Idaho,FALSE,TRUE,America's Promise Ministries,48.27,-116.55,https://www.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity,https://www.splcenter.org/fighting-hate/extremist-files/group/americas-promise-ministries,"48.27, -116.55"
Northwest Hammerskins,Racist Skinhead,racist-skinhead,,Idaho,TRUE,FALSE,,44.06,-114.74,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,,"44.06, -114.74"
Lordship Church,General Hate,other,Coeur d'Alene,Idaho,FALSE,TRUE,,47.67,-116.78,https://www.splcenter.org/fighting-hate/extremist-files/ideology/general-hate,,"47.67, -116.78"
Crew 38,Racist Skinhead,racist-skinhead,,Idaho,TRUE,FALSE,,44.06,-114.74,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,,"44.06, -114.74"
ACT for America,Anti-Muslim,anti-muslim,Twin Falls,Idaho,FALSE,FALSE,,42.56,-114.46,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"42.56, -114.46"
ACT for America,Anti-Muslim,anti-muslim,Meridian,Idaho,FALSE,FALSE,,43.61,-116.39,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"43.61, -116.39"
Committee to End the CSI Refugee Center,Anti-Muslim,anti-muslim,Buhl,Idaho,FALSE,FALSE,,42.59,-114.75,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"42.59, -114.75"
Traditionalist American Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Hayden,Idaho,FALSE,FALSE,,47.76,-116.78,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"47.76, -116.78"
Endangered Souls RC/Crew 519,Neo-Nazi,neo-nazi,,Idaho,TRUE,FALSE,,44.06,-114.74,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"44.06, -114.74"
Pig Blood Bullets,Anti-Muslim,anti-muslim,Priest River,Idaho,FALSE,FALSE,,48.25,-116.87,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"48.25, -116.87"
Treasure Valley Refugee Watch,Anti-Muslim,anti-muslim,Meridian,Idaho,FALSE,FALSE,,43.6,-116.4,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"43.6, -116.4"
America First Committee,Neo-Nazi,neo-nazi,Lyons,Illinois,FALSE,FALSE,,41.82,-87.81,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"41.82, -87.81"
Nation of Islam,Black Separatist,black-separatist,Chicago,Illinois,FALSE,TRUE,,41.759792,-87.564304,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"41.759792, -87.564304"
Resistance Records,Hate Music,racist-music,Chicago,Illinois,FALSE,TRUE,,41.87,-87.62,https://www.splcenter.org/fighting-hate/extremist-files/ideology/hate-music,,"41.87, -87.62"
Illinois Family Institute,Anti-LGBT,anti-lgbt,Carol Stream,Illinois,FALSE,TRUE,,41.92,-88.12,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt,,"41.92, -88.12"
Heterosexuals Organized for a Moral Environment (H.O.M.E.),Anti-LGBT,anti-lgbt,Downers Grove,Illinois,FALSE,TRUE,,41.81329,-88.021633,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt,,"41.81329, -88.021633"
White Boy Society,White Nationalist,white-nationalist,,Illinois,TRUE,TRUE,,40.63,-89.39,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"40.63, -89.39"
Nation of Islam,Black Separatist,black-separatist,Rockford,Illinois,FALSE,FALSE,Nation of Islam,42.247361,-89.080022,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"42.247361, -89.080022"
"Creativity Movement, The",Neo-Nazi,neo-nazi,Bloomington,Illinois,FALSE,TRUE,The Creativity Movement,40.48,-88.99,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,https://www.splcenter.org/fighting-hate/extremist-files/group/creativity-movement,"40.48, -88.99"
Northern Hammerskins,Racist Skinhead,racist-skinhead,Chicago,Illinois,FALSE,FALSE,,41.87,-87.62,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,,"41.87, -87.62"
Americans for Truth About Homosexuality,Anti-LGBT,anti-lgbt,Naperville,Illinois,FALSE,TRUE,,41.774855,-88.148077,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt,,"41.774855, -88.148077"
All Eyes On Egipt Bookstore,Black Separatist,black-separatist,Chicago,Illinois,FALSE,FALSE,,41.75,-87.58,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"41.75, -87.58"
Nation of Islam,Black Separatist,black-separatist,East Saint Louis,Illinois,FALSE,FALSE,Nation of Islam,38.62,-90.15,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"38.62, -90.15"
Loyal White Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Clay City,Illinois,FALSE,FALSE,,38.68,-88.35,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"38.68, -88.35"
Crew 38,Racist Skinhead,racist-skinhead,Chicago,Illinois,FALSE,FALSE,,41.85,-87.65,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,,"41.85, -87.65"
"World Congress of Families/Howard Center for Family, Religion, and Society",Anti-LGBT,anti-lgbt,Rockford,Illinois,FALSE,TRUE,,42.341,-89.084794,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt,,"42.341, -89.084794"
Divine International Church of the Web,Christian Identity,christian-identity,Morton,Illinois,FALSE,TRUE,,40.61,-89.45,https://www.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity,,"40.61, -89.45"
Black Riders Liberation Party,Black Separatist,black-separatist,Chicago,Illinois,FALSE,FALSE,,41.87,-87.62,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"41.87, -87.62"
New Black Panther Party,Black Separatist,black-separatist,Springfield,Illinois,FALSE,FALSE,New Black Panther Party,39.78,-89.65,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/new-black-panther-party,"39.78, -89.65"
Israelite School of Universal Practical Knowledge,Black Separatist,black-separatist,Chicago,Illinois,FALSE,FALSE,,41.87,-87.62,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"41.87, -87.62"
Israel United In Christ,Black Separatist,black-separatist,Chicago,Illinois,FALSE,FALSE,,41.87,-87.62,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"41.87, -87.62"
Illinois Family Institute Tri-County chapter,Anti-LGBT,anti-lgbt,Peoria,Illinois,FALSE,FALSE,,40.69,-89.58,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt,,"40.69, -89.58"
Hostile Class Productions,Hate Music,racist-music,Burbank,Illinois,FALSE,FALSE,,41.74,-87.76,https://www.splcenter.org/fighting-hate/extremist-files/ideology/hate-music,,"41.74, -87.76"
Ku Klos Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Gurnee,Illinois,FALSE,FALSE,,42.37,-87.9,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"42.37, -87.9"
Ku Klos Knights of the Ku Klux Klan,Ku Klux Klan,kkk,,Illinois,TRUE,FALSE,,40.63,-89.39,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"40.63, -89.39"
United Dixie White Knights of the Ku Klux Klan,Ku Klux Klan,kkk,,Illinois,TRUE,FALSE,,40.63,-89.39,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"40.63, -89.39"
ACT for America,Anti-Muslim,anti-muslim,Des Plaines,Illinois,FALSE,FALSE,,42.03,-87.88,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"42.03, -87.88"
Aryan Nations Sadistic Souls MC,Neo-Nazi,neo-nazi,Wood River,Illinois,FALSE,TRUE,,38.86,-90.09,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"38.86, -90.09"
Aryan Nations Sadistic Souls MC,Neo-Nazi,neo-nazi,Taylorville,Illinois,FALSE,FALSE,,39.54,-89.29,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"39.54, -89.29"
Aryan Nations Sadistic Souls MC,Neo-Nazi,neo-nazi,Canton,Illinois,FALSE,FALSE,,40.55,-90.03,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"40.55, -90.03"
Euro Folk Radio,Christian Identity,christian-identity,Chicago,Illinois,FALSE,TRUE,,41.87,-87.62,https://www.splcenter.org/fighting-hate/extremist-files/ideology/christian-identity,,"41.87, -87.62"
Sons & Daughters of Liberty,White Nationalist,white-nationalist,,Illinois,TRUE,FALSE,,40.63,-89.39,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"40.63, -89.39"
Soldiers of Odin,Anti-Muslim,anti-muslim,,Illinois,TRUE,FALSE,,40.63,-89.39,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"40.63, -89.39"
White Aryan Resistance,Neo-Nazi,neo-nazi,Warsaw,Indiana,FALSE,TRUE,,41.23,-85.85,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"41.23, -85.85"
Nation of Islam,Black Separatist,black-separatist,Indianapolis,Indiana,FALSE,FALSE,Nation of Islam,39.802988,-86.103918,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,https://www.splcenter.org/fighting-hate/extremist-files/group/nation-islam,"39.802988, -86.103918"
Vinlanders Social Club,Racist Skinhead,racist-skinhead,,Indiana,TRUE,TRUE,Vinlanders Social Club,40.26,-86.13,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,https://www.splcenter.org/fighting-hate/extremist-files/group/vinlanders-social-club,"40.26, -86.13"
Culture Wars/Fidelity Press,Radical Traditional Catholicism,rad-trad-catholicism,South Bend,Indiana,FALSE,TRUE,,41.689403,-86.252357,https://www.splcenter.org/fighting-hate/extremist-files/ideology/radical-traditional-catholicism,,"41.689403, -86.252357"
WTM Enterprises,White Nationalist,white-nationalist,Roanoke,Indiana,FALSE,TRUE,,40.962546,-85.373307,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"40.962546, -85.373307"
Firm 22,Racist Skinhead,racist-skinhead,,Indiana,TRUE,FALSE,,40.26,-86.13,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,,"40.26, -86.13"
American Freedom Party,White Nationalist,white-nationalist,,Indiana,FALSE,FALSE,American Freedom Party,40.26,-86.13,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,https://www.splcenter.org/fighting-hate/extremist-files/group/american-freedom-party,"40.26, -86.13"
Ku Klos Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Kokomo,Indiana,FALSE,FALSE,,40.48,-86.13,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"40.48, -86.13"
Gallows Tree Wotansvolk Alliance,Neo-Nazi,neo-nazi,,Indiana,TRUE,FALSE,,40.26,-86.13,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"40.26, -86.13"
Traditionalist Youth Network,White Nationalist,white-nationalist,Paoli,Indiana,FALSE,TRUE,,38.54,-86.45,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"38.54, -86.45"
American Vikings,Racist Skinhead,racist-skinhead,Indianapolis,Indiana,FALSE,FALSE,,39.75,-86.11,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,,"39.75, -86.11"
Ku Klos Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Muncie,Indiana,FALSE,FALSE,,40.19,-85.38,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"40.19, -85.38"
Israelite School of Universal Practical Knowledge,Black Separatist,black-separatist,Indianapolis,Indiana,FALSE,FALSE,,39.76,-86.15,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"39.76, -86.15"
"Campus Ministry USA, The",Anti-LGBT,anti-lgbt,Terre Haute,Indiana,FALSE,TRUE,,39.46,-87.41,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-lgbt,,"39.46, -87.41"
Traditionalist Worker Party,White Nationalist,white-nationalist,Paoli,Indiana,FALSE,TRUE,,38.54,-86.45,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"38.54, -86.45"
Blood and Honour Social Club,Racist Skinhead,racist-skinhead,,Indiana,TRUE,FALSE,Blood & Honour,40.26,-86.13,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,https://www.splcenter.org/fighting-hate/extremist-files/group/blood-honour,"40.26, -86.13"
Traditionalist Youth Network,White Nationalist,white-nationalist,Bloomington,Indiana,FALSE,FALSE,,39.16,-86.52,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"39.16, -86.52"
Confederate White Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Auburn,Indiana,FALSE,FALSE,,41.36,-85.05,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"41.36, -85.05"
Confederate White Knights of the Ku Klux Klan,Ku Klux Klan,kkk,Madison,Indiana,FALSE,FALSE,,38.73,-85.37,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"38.73, -85.37"
