name,ideology,ideology_icon,city,state,is_statewide,is_headquarters,group,latitude,longitude,ideology_link,group_link,latitude_longitude_appended
ACT for America,Anti-Muslim,anti-muslim,Los Angeles,California,FALSE,FALSE,,34.05,-118.24,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"34.05, -118.24"
Western Hammerskins,Racist Skinhead,racist-skinhead,,California,TRUE,FALSE,,36.77,-119.41,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,,"36.77, -119.41"
American Freedom Alliance,Anti-Muslim,anti-muslim,Los Angeles,California,FALSE,TRUE,,34.16,-118.51,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"34.16, -118.51"
American Vanguard,White Nationalist,white-nationalist,Huntington Beach,California,FALSE,TRUE,,33.66,-117.99,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"33.66, -117.99"
Traditionalist Worker Party,White Nationalist,white-nationalist,Sacramento,California,FALSE,FALSE,,38.58,-121.49,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"38.58, -121.49"
The Realist Report,Holocaust Denial,holocaust-denial,Poway,California,FALSE,TRUE,,32.96,-117.03,https://www.splcenter.org/fighting-hate/extremist-files/ideology/holocaust-denial,,"32.96, -117.03"
United Northern and Southern Knights of the Ku Klux Klan,Ku Klux Klan,kkk,,California,TRUE,FALSE,,36.77,-119.41,https://www.splcenter.org/fighting-hate/extremist-files/ideology/ku-klux-klan,,"36.77, -119.41"
The Daily Stormer,Neo-Nazi,neo-nazi,Santa Cruz,California,FALSE,FALSE,,36.97,-122.03,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"36.97, -122.03"
The Daily Stormer,Neo-Nazi,neo-nazi,Mountain View,California,FALSE,FALSE,,37.38,-122.08,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"37.38, -122.08"
Vinland Clothing,Racist Skinhead,racist-skinhead,Oildale,California,FALSE,FALSE,,35.41,-119.01,https://www.splcenter.org/fighting-hate/extremist-files/ideology/racist-skinhead,,"35.41, -119.01"
Noble Breed Kindred,Neo-Nazi,neo-nazi,,California,TRUE,FALSE,,36.77,-119.41,https://www.splcenter.org/fighting-hate/extremist-files/ideology/neo-nazi,,"36.77, -119.41"
Soldiers of Odin,Anti-Muslim,anti-muslim,,California,TRUE,FALSE,,36.77,-119.41,https://www.splcenter.org/fighting-hate/extremist-files/ideology/anti-muslim,,"36.77, -119.41"
Israelite School of Universal Practical Knowledge,Black Separatist,black-separatist,Rialto,California,FALSE,FALSE,,34.1,-117.37,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"34.1, -117.37"
Hate Crime Streetwear Productions,Hate Music,racist-music,Anaheim,California,FALSE,TRUE,,33.83,-117.91,https://www.splcenter.org/fighting-hate/extremist-files/ideology/hate-music,,"33.83, -117.91"
Occidental Observer,White Nationalist,white-nationalist,Laguna Hills,California,FALSE,TRUE,,33.59,-117.69,https://www.splcenter.org/fighting-hate/extremist-files/ideology/white-nationalist,,"33.59, -117.69"
Sicarii 1715,Black Separatist,black-separatist,Lemon Grove,California,FALSE,TRUE,,32.73,-117.03,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"32.73, -117.03"
Sicarii 1715,Black Separatist,black-separatist,Inland Empire,California,FALSE,FALSE,,34.95,-116.41,https://www.splcenter.org/fighting-hate/extremist-files/ideology/black-separatist,,"34.95, -116.41"
